folder,file,path,start_page,content,token_count,chunk_id
事例1,不適切事例_1_OSJB.pdf,C:\Users\nyham\work\A2A\A2A\A2A_risk\samples\python\agents\data_agent\data\不正事例\事例1\不適切事例_1_OSJB.pdf,1,"平成29年11月９日 
各   位 
 会社名  ＯＳＪＢホールディングス株式会社 
 代表者  代表取締役社長    大 野 達 也 
 コード番 号 5912 東証第一部 
 問合せ 先 取締役 経営企画担当 橋 本 幸 彦 
 電話番 号 03-6220-0601 
 URL  http://www.osjb.co.jp/  
 
 
当社連結子会社 従業員による不適切な取引の 判明及び  
平成30年３月期第２四半期 決算発表の延期のお知らせ  
 
今般、誠に遺憾ながら、 当社連結子会社であるオリエンタル白石株式会社の複数の従業員が、
協力会社と 不適切な取引 を行っていた疑いがあることが 判明いたしました。  
株主、投資家をはじめ当社に関係する皆様には、多大なご迷惑とご心配をおかけすることにな
りますこと、深くお詫び申しあげます。  
また、これを受け、平成 29年11月14日に予定しておりました 平成30年３月期第２四半期決
算発表を延期することとしましたので 、併せてお知らせいたします。  
 
記 
 
１．不適切な取引の概要  
当社連結 子会社であるオリエンタル白石株式会社 の複数事業所の 従業員が、 複数年 に亘り協
力会社に対 して外注費の 水増し発注 を繰り返 し、キックバックを 受け取り従業員の飲食費と
して費消するなどし た疑いがあることが判明しました。  
また、 一部の事業所において、 協力会社に 対して架空発注を行い費用をプールさせたうえで、
他の業務の原価に付け替えていた疑いがあることも判明いたしました。 
 
２．今後の対応について  
現在、当社と利害関係のない 弁護士等の外部専門家 を補助者とする 社内調査委員会を設置し、
全容の解明及び原因究明 ならびに同種 の事案の有無について調査 を進めて おります。 
つきましては、 平成 29年11月14日に予定していた 平成30年３月期第２四半期決算短信の
発表を延期することと いたしました。  
また、上記のような状況により、 社内調査及び監査法人による追加的監査手続が必要となる
ことから、 提出期限である 平成29年11月14日までに提出を予定していた 、第４期（平成
30年３月期）第２四半期報告書（自  平成29年７月１日  至 平成29年９月30日）につ
きましても、期限までに提出できない見込みであることから、当該四半期報告書の提出期限
の延長申請も検討しております。提出期限延長の申請を決定した場合は、速やかに開示いた
します。 
 
３．業績に及ぼす影響について  
現在、 同種事案の有無も含め調 査中でありますが、 現時点で 判明している 不適切な取引に 係
る不正金額は約 ２億円、当社の 最終損益に与える影響としては約 1.5億円の損失を見込んで
おります。今後、当社の業績に及ぼす影響を含め、調査の結果等につきましては、必要に応
じて速やかに公表してまいります。  
以 上",1315,1
事例1,第三者委員会報告書_2_DSJB.pdf,C:\Users\nyham\work\A2A\A2A\A2A_risk\samples\python\agents\data_agent\data\不正事例\事例1\第三者委員会報告書_2_DSJB.pdf,1,"平成29年12月13日 
各   位 
 会 社 名 ＯＳＪＢホールディングス株式会社 
 代 表 者 代表取締役社長   大 野 達 也 
 コード番号  5 912 東証第一部 
 問合せ先  取締役 経営企画担当 橋 本 幸 彦 
 電話番号  0 3 - 6 2 2 0 - 0 6 0 1  
 URL  http://www.osjb.co.jp/ 
 
 
社内調査委員会の調査結果受領に関するお知らせ  
 
当社は、かねてお知らせのとおり、当社連結子会社であるオリエンタル白石株式会社の複数の
従業員が、協力会社と不適切な取引を行っていた疑いがあることが判明したため、当社と利害関係のない弁護士等の外部専門家を補助者とする社内調査委員会（以下「当委員会」という。 ）を設
置し、全容の解明及び原因究明ならびに同種の事案の有無について調査を進めてまいりました。 
本日、当委員会から調査報告書（以下「本報告書」という。 ）を受領しましたので、下記のとお
りお知らせいたします。 
 
記 
 
１．本報告書の内容
 
本報告書の詳細な内容につきましては、添付「調査報告書」をご覧ください。 
 
２．業績への影響  
本調査で判明した不正行為の金額は、３億３千１百万円であり、売上原価への計上額等は、
前連結会計年度の利益剰余金及び当第２四半期連結累計期間の損益に反映させることで、当社では過年度連結財務諸表に与える影響は軽微と判断し、過年度の有価証券報告書、四半期報告書、内部統制報告書および決算短信の修正は行わないことといたします。 
なお、上記の不正行為による売上原価への計上額等のうち、税務上損金として認識されない
金額２億１千９百万円に係る税金費用については、当第２四半期連結累計期間において過年度法人税等１億３千６百万円として計上いたします。また、当第２四半期連結累計期間における不正行為については、それぞれ適切な科目にて計上いたします。 
 
３．当委員会の調査結果を受けた今後の対応方針
 
当社は、当委員会からの再発防止策の提言を踏まえ、具体的な再発防止策を速やかに策定の
上、実行してまいります。 
なお、第４期第２四半期報告書につきましても、平成29年11月14日付で公表した「第４期第
２四半期報告書の提出期限延長申請に係る承認のお知らせ」においてお知らせいたしましたとおり、延長承認された提出期限であります平成29年12月14日までに提出できる見込みです。 
また、平成30年３月期第２四半期決算短信につきましても、平成29年12月14日に開示できる
見込みとなりましたので併せてお知らせいたします。 
株主をはじめ投資家の皆様、お取引先および関係者の皆様には、多大なご迷惑とご心配をお
かけいたしましたこと、改めて深くお詫び申し上げます。 
以 上",1290,1
事例1,第三者委員会報告書_2_DSJB.pdf,C:\Users\nyham\work\A2A\A2A\A2A_risk\samples\python\agents\data_agent\data\不正事例\事例1\第三者委員会報告書_2_DSJB.pdf,2,"調 査 報 告 書 
【開示版】 
 
  
 
2017年12月 13日 
 
 
 
 
OSJBホールディングス株式会社 
社内調査委員会\n\n2 0 1 7年1 2月1 3日  
 
  
OSJBホールディングス株式会社 取締役会 御中 
     
 
    
   OSJB ホールディングス株式会社 社内調査委員会 
 
 
委 員 長 橋本 幸彦 
 
委   員  髙 井   繁  
 
委   員  住 江   清  
 
委  員 久米 清忠 
 
委  員 桃崎 有治 
 
委  員 谷原 幸一 
 
委  員 行松 俊樹",378,2
事例1,第三者委員会報告書_2_DSJB.pdf,C:\Users\nyham\work\A2A\A2A\A2A_risk\samples\python\agents\data_agent\data\不正事例\事例1\第三者委員会報告書_2_DSJB.pdf,4,"目次 
第一 調査の概要 ............................................................... . 1 
１ 社内調査委員会設置の経緯 .................................................. 1 
２ 調査目的 ............................................................... ... 1 
３ 調査体制 ............................................................... ... 1 
４ 調査期間 ............................................................... ... 2 
５ 調査方法等 ............................................................... . 2 
第二 ORSCの概要 .................................................... ........... 5 
１ 沿革 ............................................................... ....... 5 
２ 組織 ............................................................... ....... 5 
３ 事業の概要 ............................................................... . 6 
４ ORSC におけるコーポレート ・ガバナンスの概要 ................................ 6 
５ ORSCの工事受注・管理業務フローの概要 ..................................... 6 
第三 調査の結果判明した事実 .................................................... 9 
１ 判明した不正行為の概要 .................................................... 9 
２ 協力会社と共謀した外注費の水増し・キックバックの受領 ..................... 10 
３ 協力会社に対する架空発注・外注設計費のプール ............................. 16 
４ スクラップ等の売却代金・自動販売機の販売手数料の着服 ..................... 17 
５ 「施工図代」又は「設計外注費」名目での手数料等の支払い ................... 18 
６ 工事原価の付け替え ....................................................... 19 
７ その他の不正行為 ......................................................... 19 
第四 調査で判明した不正行為の金額及び損益への影響 ............................. 20 
第五 原因分析 ............................................................... .. 20 
１ 本件不正行為の特性 ....................................................... 20 
２ 本件不正行為の発生原因 ................................................... 22 
第六 再発防止策の提言 ......................................................... 24 
１ 主観的・属人的原因に対する対応策 ......................................... 24 
２ 制度的・組織的原因に対する対応策 ......................................... 26\n\n略称・用語一覧 
 
略称・用語 正式名称 
ORSC オリエンタル白石株式会社 
OSJB OSJB ホールディングス株式会社 
名古屋 PC建築グループ 大阪支店 PC建築グループ（名古屋担当） 
大阪 PC建築グループ 大阪支店 PC建築グループ（大阪担当） 
東京 PC建築グループ 東京支店 PC建築グループ（東京担当） 
下請案件 ORSC が下請会社として行う土木工事又は PC建築工事案件 
元請案件 ORSC が元請会社として行う土木工事案件",892,3
事例1,第三者委員会報告書_2_DSJB.pdf,C:\Users\nyham\work\A2A\A2A\A2A_risk\samples\python\agents\data_agent\data\不正事例\事例1\第三者委員会報告書_2_DSJB.pdf,6,"1 
  
第一 調査の概要 
 
１ 社内調査委員会設置の経緯   
 20 17年7月、 O SJ Bは東京国税局 （以下、「国税局」） から税務調査を行う旨の通知を受け、
同年 8 月に同局の調査が開始された。税務調査の過程において、ORSC は、名古屋 PC 建築グループ及びその他の事業所等において、協力会社に対する架空又は水増し発注がなされた疑いがある等の指摘（以下、「本指摘事項」）を受けた。OSJBは、国税局からの本指摘事項に
ついて事実調査を行うことが必要であると判断し、 同年 10 月 12日に社内調査委員会 （以下、
「当委員会」）を設置し、本指摘事項の事実解明のための調査（以下、「本調査」）に着手した。当委員会の初期的な調査の結果、本指摘事項及びこれに類似する取引の事実関係をより広範囲に確認する必要 性を認識し、同年 11 月 10 日、2017 年度第 2 四半期に係る四半期
報告書の提出期限延長を関東財務局長に申請することで（同延長申請は、同年同月 14日をもって承認）、調査のための期間を確保した。  
 
２ 調査目的 
 本調査の目的は以下のとおりである。 
（１）国税局から指摘を受けた、以下の不正行為に係る事実関係の調査及び類似案件の有 
無の調査 
① 協力会社に対し架空又は水増し発注を行い、その架空又は水増し発注額の一部又は
全部をキックバックとして受け取る行為 
② 協力会社である設計事務所に対し設計業務の架空発注を行い、その架空発注額等を
プールさせて協力会社への支払いに充当する行為 
③ 工事現場で発生したスクラップ等の売却代金・自動販売機の販売手数料の着服 
④ PC 工法の販売促進を目的とした営業代理等を行う会社に対する販売促進手数料を、
当該会社又は同会社が指定する別会社に対し「施工図代」又は「設計外注費」名目で支払う行為 
⑤ 工事原価の付け替え行為（ある工事に計上すべき原価又は費用を他の工事の原価と
して計上する行為） 
（２）上記不正行為が行われた原因及び背景の調査、ならびに再発防止策の検討 
 
３ 調査体制 
 当委員会のメンバーは以下のとおりである。（敬称略） 
委員長 橋本 幸彦（取締役 内部統制担当 経営企画担当） 委員  髙井 繁 （取締役 経理財務担当 総務担当 コンプライアンス担当） 委員  住江 清 （社外取締役 独立役員）",1264,4
事例1,第三者委員会報告書_2_DSJB.pdf,C:\Users\nyham\work\A2A\A2A\A2A_risk\samples\python\agents\data_agent\data\不正事例\事例1\第三者委員会報告書_2_DSJB.pdf,7,"2 
 委員  久米 清忠（常勤監査役） 
委員  桃崎 有治（社外監査役 独立役員） 
委員  谷原 幸一（経理財務室長） 委員  行松 俊樹（経営企画室長） 
  当委員会は OSJB及び ORSCと利害関係のない以下の者を調査補助者として選任し、本調査
の補佐をさせた。 
アンダーソン・毛利・友常法律事務所 西谷 敦（弁護士）以下 6名 PwCアドバイザリー合同会社  佐々木 健仁 以下 28名 
 
４ 調査期間   
 自 2017年 10月 12日（木） 至 2017年11月 30 日（木） 
 
５ 調査方法等   
（１）調査対象期間 
 当委員会は、本調査の対象期間を確定することを目的として、本調査に先立って、一部
事実確認を実施した。その結果を踏まえ、当委員会は、以下の理由に基づき、本調査の対象期間を 2012年 1月 1日から 2017年 9月 30日までとした。ただし、インタビューその他の調査過程において発覚した不正行為のうち、2011年末までに発生していることが確認できたものについては、対象期間を拡大した上で調査を実施している。 
① ORSC では 2011年 10 月 24 日に会社更生手続が終結し、2011 年 12月 26 日に日本橋
梁株式会社の完全子会社となっているが、子会社化以前と以降では会社管理体制に
大幅な変更が加えられている。 
② 本調査はインタビュー及び E-mail を含む電子ファイルのレビューを中心に実施し
たが、ORSCのメールシステム上、 過去5年を超えて遡ったデータ抽出が困難である。  
 
（２）調査対象部門 
 ORSCの組織は、後記第二、２（２）のとおりである。本調査では、ORSCにおける業務内
容及び業務フローを確認した結果から、調査対象である不正行為が行われる可能性を考慮
し、以下の部門を調査の対象とした。 
 
① 本社営業本部：営業部、事業開発部  
② 本社土木事業本部：工事部 
③ 本社技術本部：技術部 
④ 本社 PC建築部 
⑤ 東北支店：営業部、工事部、技術部、PC建築グループ（東北担当）",1090,5
事例1,第三者委員会報告書_2_DSJB.pdf,C:\Users\nyham\work\A2A\A2A\A2A_risk\samples\python\agents\data_agent\data\不正事例\事例1\第三者委員会報告書_2_DSJB.pdf,8,"3 
 ⑥ 東京支店：営業部、工事部、技術部、PC建築グループ（東京担当）、関東工場 
⑦ 大阪支店：営業部（名古屋営業支店を含む。）、工事部、技術部、PC建築グループ（大
阪担当、名古屋担当）、滋賀工場 
⑧ 福岡支店：営業部、工事部、技術部、PC建築グループ（福岡担当）、福岡工場 
 
 本社経営企画室など本社及び各支店の管理系部署については、協力会社と直接接触する
可能性が無い又は低い事業部である。さらにこれらの部門では業務内容の特性から工事原
価の付け替えが発生する可能性は小さいと判断し、主たる調査の対象から除外している。  
 
（３）調査方法   
 当委員会は、OSJB、ORSC及びその関係者から開示された資料の閲覧、ORSCの社員及び嘱
託社員（以下、「従業員」と総称）ならびに外部関係者（ORSC の協力会社を含む。以下、同じ。）に対するインタビュー、電子ファイルのレビュー、社内規程、取引関連資料等の
閲覧及び検討、OSJB、ORSC、OSJB の子会社である日本橋梁株式会社及び ORSC の子会社で
ある株式会社タイコー技建の全従業員向けの内部通報窓口への通報、ORSCの一部従業員から取得した不正行為に関する申告書、ORSCの協力会社に対するアンケート、及び一般に入手可能な公開情報の閲覧に基づき本調査を実施した。本調査の具体的な手続は、以下のとおりである。 
 
ア 関係者へのインタビュー 
 当委員会は、国税局による調査の過程で不正行為に関与したことが判明した従業員に対してインタビューを実施した。また、類似案件の有無を確認するため、発覚済みの不正行為と類似する案件への関与、又はその認識を有している可能性が認められる従業員等に対しても追加的にインタビューを実施した。その対象者は工事種別の類似性や、協力会社とのコミュニケーションの有無、担当する業務内容など、発覚済みの不正行為と
類似する機会あるいは動機を有する従業員や、組織的関与の有無の確認といった視点で
選定した。さらに、不正行為への関与があった協力会社のうち、当委員会が必要と判断し、かつ応諾した協力会社について、反面調査を目的とするインタビューを実施した。 
 
イ 電子ファイルのレビュー 
 当委員会は、不正行為に関与した可能性がある従業員 72名について、社用クラウドメ
ール又は業務上使用する個人貸与 PC等からデータを保全し、 データベース化処理を施し
た上で調査用レビュープラットフォームにアップロードした。アップロードした電子データは本調査に関連する検索キーワードを用いることで閲覧対象に絞り込みをかけた上で内容の閲覧と検討を行った。  電子ファイルレビュー対象者の選定にあたっては、国税局の調査によって不正行為が",1396,6
事例1,第三者委員会報告書_2_DSJB.pdf,C:\Users\nyham\work\A2A\A2A\A2A_risk\samples\python\agents\data_agent\data\不正事例\事例1\第三者委員会報告書_2_DSJB.pdf,9,"4 
 発覚した従業員のほか、類似案件への関与可能性を考慮した上で決定している。具体的
には発覚済みの不正行為に関与した従業員と類似する属性を持つ従業員（在籍年数、役
職、担当業務など）や、発覚済みの不正行為と類似した工事種別、協力会社への水増し発注や架空発注の可能性が相対的に高いと想定される大規模受注への関与がある従業員等から調査対象を選定した。  上記の方法により抽出された電子ファイルサイズの合計は 4113.1ギガバイトであり、
キーワード検索による絞り込みをかけて閲覧と検討を行った電子ファイル総数は 21 万
5772 件であった。 
 
ウ 社内規程、取引関連資料等の閲覧及び検討 
 当委員会は、見積書、発注書、請求書等の取引関係資料、財務諸表、経理関係書類、社内規程類、工事進捗管理資料、特定の従業員の金融機関取引記録、税務調査において
調査対象者が国税局に提出した資料等について、当委員会が必要と認める範囲で閲覧と
検討を行った。 
 
エ ホットラインの設置 
 当委員会は類似案件の有無の確認を主たる目的として、既存の内部通報窓口の利用に加え、2017 年 10 月 23 日から同年 11 月 2 日までの期間、当委員会を宛先としたホット
ラインを設置し、OSJB グループに所属する全ての役職員（嘱託社員を含む。）に対し、
電子メール又はウェブページを介した情報提供を求めた。 
 
オ 不正行為に関する従業員申告書の徴収 
 当委員会は、類似案件の有無の確認を主たる目的として、2017年 11月 15 日から 2017年 11月 17日の期間において ORSCの全管理職 521名に対し従業員申告書の提出を求め、
全管理職から申告書を回収した。当委員会では申告書の内容を調査の対象とした。   
 
カ 協力会社に対するアンケートの送付及び回収 
 当委員会は、類似案件の有無の確認を主たる目的として、ORSCと取引のあった協力会社に対してアンケートを送付、回収した。送付対象とした協力会社は、ORSCとの過去の取引額実績に基づいて選定している。なお、調査の過程で既に不正行為への関与が認め
られる協力会社については、原則として別途インタビューを実施しているため、アンケ
ートの対象からは除外している。当該アンケートの回収状況は、下表のとおりである。 
協力会社アンケートの回収結果  
送付数 回収数 回収率* 
233社 233社 100.0% 
*金額ベースでは 2017 年上期下請取引額の 83％をカバーする協力 会社からアンケー",1343,7
事例1,第三者委員会報告書_2_DSJB.pdf,C:\Users\nyham\work\A2A\A2A\A2A_risk\samples\python\agents\data_agent\data\不正事例\事例1\第三者委員会報告書_2_DSJB.pdf,10,"5 
 トを回収している。 
 
（４）調査の前提事項及び留意事項 
 本報告書は、ORSC において発 覚した不正行為について、当委員 会が 2017 年 10 月 12 日
から 2017年 11月 30日の期間で実施した調査の結果を報告するものである。 本調査は強制
的な調査権に基づくものではなく、関係者の任意の協力に基づくものである。また、本調査の過程で入手した関係資料が全て真正かつ完全な原本又は正確な写しであることを前提
としている。本報告書の記載は調査の過程で判明した事項に限定され、調査期間末日以降
に発覚した事実や、調査の過程で確認できなかった資料や事実が存在する場合には本報告書に反映されていない可能性がある。 
  
第二 ORSCの概要 
 
１ 沿革 
（１）旧オリエンタル建設株式会社と旧株式會社白石の合併と ORSCの発足 
 2007 年 10 月、土木・建築工事の設計施工及び関連部材製品の製造販売を主要事業とす
る旧オリエンタル建設株式会社（1952 年にオリエンタルコンクリート株式会社設立）と、工場施設、港湾、橋梁等の分野に実績のある旧株式會社白石（1933年に白石基礎工業合資会社設立）は、オリエンタル建設株式会社を存続会社とした吸収合併を行い、ここにオリエンタル白石株式会社（ORSC）が発足した。 
 
（２）ORSCの会社更生手続開始申立て 
 ORSCは、2008年 11月に東京地方裁判所に会社更生手続開始の申立てを行い、2011年 10
月に同会社更生手続が終結した。 
 
（３）完全持株会社化 
 2011 年 12 月、 日本橋梁株式会社は ORSCの全株式を取得し、 完全子会社化した。 その後、
2014 年 4月に日本橋梁株式会社は純粋持株会社体制に移行し、OSJBへ商号を変更した。 
 
２ 組織 
（１）OSJBグループ 
 ORSCは OSJBグループの主要な連結子会社であり、その他 OSJBグループには、日本橋梁
株式会社と、ORSCの子会社である株式会社タイコー技建及び株式会社白石ホームズの 2 社が存在する（株式会社白石ホームズは、実質的に事業活動を行っていない。）。",1117,8
事例1,第三者委員会報告書_2_DSJB.pdf,C:\Users\nyham\work\A2A\A2A\A2A_risk\samples\python\agents\data_agent\data\不正事例\事例1\第三者委員会報告書_2_DSJB.pdf,11,"6 
 （２）ORSCの組織 
 ORSCは、本社と東北、東京、大阪、福岡各支店から構成される。本社組織としては 4 本
部（営業本部、土木事業本部、技術本部、管理本部（本社外の事業所として土木事業本部
は東北、関東、岡山、福岡、つくばの 5つの機材センターを有し、技術本部は技術研究所を有している。））のほか、社長直轄の経営企画室、監査室、安全・品質・環境管理室、法務・コンプライアンス室及びそれ以外の部門として PC建築部、建築事務所が設置されている。各支店においても、営業部、工事部、技術部、管理部、PC建築グループ（大阪支店
のみ 2つのグループ（大阪・名古屋）を有する。）のほか、安全・品質・環境管理室及び
積算室が設置されている（なお、東京支店は関東工場、大阪支店は滋賀工場、福岡支店は福岡工場をそれぞれ有している。）。 
 
３ 事業の概要 
 ORSCの事業内容は、下記のとおりである。 
 プレストレストコンクリートの建設工事及び製造販売 
 ニューマチックケーソンの建設工事 
 補修補強の建設工事 
 耐震補強建築工事の設計・施工 
 建設資材の販売 
 太陽光による発電事業及びその管理・運営ならびに電気の供給、販売 
 
４ ORSCにおけるコーポレート・ガバナンスの概要 
 ORSC は、OSJBグループの主要な連結子会 社として、「コーポレート ガバナンス基本方針」
に則り、迅速な意思決定と効率的な組織運営を図るため、取締役会及び監査役協議会ならびに OSJB主催のグループ経営会議を軸とした経営管理体制を構築している。取締役会は，取締役 6 名で構成され，経営上の重要事項に関する意思決定を行い、取締役の職務の執行を監査する監査役は 3 名を選任し、経営における透明性を確保するため、監査役監査及び内部監査による監視体制の強化を図っている。 
 また、ORSC では、内部統制システムを整備する上で、法務・コンプライアンス室が ORSC
におけるコンプライアンスの普及促進や、「内部通報制度」の整備等、コンプライアンス推進体制を統括している。また、企業のリスク管理に対応する機関としてリスク管理委員会を設置、OSJBの機関であるグループリスク管理委員会（グループ全体のリスク管理に係る方針を決定、状況をモニタリングし指導監督する機関）と連携をとっている。  
５ ORSCの工事受注・管理業務フローの概要 
（１）工事受注プロセス 
ア 新規案件受注",1301,9
